Age,Sex,Race,Marital status,Education,Employment,Incomes,Number of books read,Printed books?,Audiobooks?,E-books?,Source of the last book read,Daily news/newspapers reader?,Magazines/Journals reader?
59,Female,White,Married,Post-graduate,Retired,$100k-150k,97,Yes,Yes,No,Borrowed from others,Yes,Yes
59,Female,White,Married,College,Employed full-time,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
58,Female,White,Married,High school,Unemployed,$50k-75k,97,Yes,No,No,Purchased,No,No
58,Male,White,Never been married,Some college,Unemployed,$10k-20k,97,Yes,No,No,Borrowed from library,Yes,Yes
58,Female,White,Married,Some college,Employed part-time,$50k-75k,97,Yes,No,No,Borrowed from library,Yes,No
58,Female,White,Married,Post-graduate,Other,$100k-150k,97,Yes,No,No,Borrowed from library,Yes,Yes
57,Female,White,Married,Some college,Unemployed,$100k-150k,97,Yes,Yes,Yes,Borrowed from library,Yes,Yes
56,Female,White,Divorced,High school,Retired,$20k-30k,97,Yes,No,No,Purchased,No,Yes
55,Female,White,Married,Some college,Retired,$50k-75k,97,Yes,Yes,Yes,Purchased,No,Yes
53,Female,White,Divorced,High school,Employed full-time,$30k-40k,97,Yes,No,No,Purchased,No,No
53,Male,White,Divorced,Some college,Employed full-time,$50k-75k,97,Yes,No,Yes,Purchased,No,Yes
52,Female,White,Married,College,Employed part-time,$100k-150k,97,Yes,Yes,No,Purchased,Yes,Yes
52,Female,White,Married,College,Employed full-time,$20k-30k,97,Yes,No,Yes,Other sources,No,No
50,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,97,Yes,No,Yes,Purchased,Yes,Yes
50,Male,White,Married,College,Employed full-time,$100k-150k,97,Yes,Yes,Yes,Purchased,Yes,Yes
50,Female,White,Married,Some high school,Unemployed,<$10k,97,Yes,No,No,Purchased,Yes,No
46,Female,White,Married,College,Self-employed,$30k-40k,97,Yes,No,No,Borrowed from library,Yes,Yes
46,Female,White,Married,College,Unemployed,$100k-150k,97,Yes,No,No,Borrowed from others,Yes,Yes
45,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
44,Male,White,Married,Some college,Employed full-time,$50k-75k,97,Yes,No,Yes,Purchased,No,Yes
42,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,97,Yes,No,Yes,Borrowed from library,Yes,Yes
41,Female,White,Married,College,Employed full-time,$30k-40k,97,Yes,Yes,No,Borrowed from library,No,Yes
40,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
38,Female,White,Married,College,Employed full-time,$100k-150k,97,Yes,No,Yes,Purchased,No,Yes
38,Female,White,Married,College,Self-employed,$100k-150k,97,Yes,No,Yes,Purchased,Yes,Yes
37,Female,White,Married,College,Employed part-time,$40k-50k,97,Yes,No,Yes,Purchased,No,No
36,Female,White,Never been married,Some college,Employed full-time,$30k-40k,97,Yes,No,Yes,Purchased,No,No
35,Male,White,Single,High school,Unemployed,$10k-20k,97,Yes,No,Yes,Purchased,Yes,Yes
35,Male,White,Married,Some college,Self-employed,$20k-30k,97,Yes,Yes,Yes,Purchased,Yes,Yes
34,Female,White,Married,College,Employed full-time,$75k-100k,97,Yes,No,Yes,Borrowed from library,No,Yes
34,Male,White,Married,High school,Employed full-time,$40k-50k,97,Yes,Yes,No,Borrowed from others,No,Yes
33,Female,White,Married,College,Employed full-time,$100k-150k,97,Yes,No,Yes,Borrowed from library,Yes,Yes
32,Female,White,Married,High school,Unemployed,$30k-40k,97,Yes,No,No,Purchased,Yes,No
32,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,97,Yes,Yes,Yes,Purchased,Yes,Yes
32,Female,White,Never been married,Post-graduate,Employed full-time,$50k-75k,97,Yes,No,No,Purchased,No,No
30,Female,White,Married,Some college,Unemployed,$75k-100k,97,Yes,No,Yes,Purchased,No,Yes
29,Female,White,Married,Post-graduate,Employed part-time,$100k-150k,97,Yes,Yes,Yes,Purchased,Yes,No
28,Male,White,Married,Some college,Employed full-time,$50k-75k,97,Yes,Yes,Yes,Purchased,Yes,Yes
28,Male,White,Married,Some high school,Employed full-time,$40k-50k,97,Yes,No,No,Purchased,Yes,Yes
27,Male,White,Married,Some college,Retired,$40k-50k,97,Yes,No,No,Purchased,Yes,Yes
26,Male,White,Never been married,Some college,Employed part-time,$10k-20k,97,Yes,No,No,Purchased,No,No
25,Male,White,Never been married,Post-graduate,Employed part-time,$100k-150k,97,Yes,No,No,Purchased,No,Yes
24,Female,White,Never been married,High school,Unemployed,$100k-150k,97,Yes,No,No,Purchased,No,Yes
24,Female,White,Never been married,College,Employed full-time,$20k-30k,97,Yes,No,Yes,Purchased,No,No
23,Female,White,Married,Some college,Unemployed,<$10k,97,Yes,Yes,No,Purchased,No,No
23,Female,White,Never been married,Some college,Employed full-time,$20k-30k,97,Yes,No,No,Borrowed from others,No,Yes
22,Male,White,Married,Trade school,Employed full-time,$10k-20k,97,Yes,No,Yes,Purchased,Yes,Yes
22,Male,White,Never been married,Post-graduate,Employed part-time,$10k-20k,97,Yes,Yes,Yes,Other sources,Yes,Yes
21,Male,White,Living with a partner,Some college,Employed part-time,<$10k,97,Yes,No,Yes,Borrowed from library,Yes,Yes
20,Female,White,Living with a partner,High school,Employed part-time,$20k-30k,97,Yes,No,Yes,Purchased,Yes,Yes
19,Female,White,Never been married,Some college,Unemployed,$100k-150k,97,Yes,No,Yes,Purchased,No,No
18,Female,White,Never been married,Some college,Unemployed,$100k-150k,97,Yes,No,No,Purchased,Yes,No
18,Female,White,Living with a partner,Some college,Unemployed,$30k-40k,97,Yes,No,No,Other sources,Yes,No
17,Female,White,Never been married,Some high school,Unemployed,$100k-150k,97,Yes,No,No,Borrowed from others,No,No
17,Female,White,Never been married,Some high school,Employed part-time,$100k-150k,97,Yes,No,No,Borrowed from others,No,No
16,Female,White,Never been married,Some high school,Unemployed,$100k-150k,97,Yes,No,No,Purchased,Yes,Yes
16,Female,White,Never been married,Some high school,Unemployed,$100k-150k,97,Yes,No,No,Borrowed from library,No,No
64,Female,Native American,Divorced,Some college,Retired,$50k-75k,96,Yes,No,No,Purchased,Yes,Yes
40,Male,Black/African-American,Divorced,High school,Retired,<$10k,96,Yes,No,No,Purchased,Yes,Yes
67,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,96,Yes,Yes,Yes,Purchased,Yes,Yes
66,Male,White,Married,Post-graduate,Retired,$100k-150k,96,Yes,Yes,No,Borrowed from others,No,Yes
65,Female,White,Divorced,Post-graduate,Employed full-time,$50k-75k,96,Yes,No,No,Borrowed from library,No,Yes
57,Female,White,Divorced,Trade school,Employed full-time,$20k-30k,96,Yes,No,No,Purchased,No,Yes
57,Female,White,Married,High school,Retired,$100k-150k,96,Yes,No,Yes,Purchased,No,No
56,Female,White,Married,Some college,Employed full-time,$75k-100k,96,Yes,Yes,Yes,Borrowed from library,No,Yes
53,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,96,Yes,No,No,Purchased,No,Yes
52,Female,White,Never been married,Post-graduate,Employed part-time,$100k-150k,96,Yes,Yes,No,Purchased,No,Yes
52,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,96,Yes,Yes,Yes,Purchased,Yes,Yes
48,Female,White,Married,Some college,Employed full-time,$75k-100k,96,Yes,No,Yes,Purchased,Yes,Yes
47,Female,White,Married,Some college,Employed part-time,$50k-75k,96,Yes,No,Yes,Purchased,Yes,Yes
28,Female,White,Single,Some college,Employed full-time,$10k-20k,96,Yes,Yes,Yes,Purchased,No,Yes
33,Male,White,Married,Post-graduate,Employed full-time,$75k-100k,90,Yes,Yes,No,Borrowed from library,Yes,No
47,Female,White,Married,Some college,Employed full-time,$50k-75k,84,Yes,No,No,Purchased,Yes,Yes
53,Female,Black/African-American,Married,Post-graduate,Employed full-time,$100k-150k,80,Yes,Yes,Yes,Purchased,Yes,Yes
69,Female,White,Never been married,Post-graduate,Retired,$50k-75k,80,Yes,Yes,No,Other sources,No,Yes
54,Female,White,Living with a partner,Some college,Disabled,$30k-40k,80,Yes,No,No,Other sources,Yes,No
18,Male,White,Single,High school,Employed full-time,<$10k,80,Yes,No,Yes,Purchased,No,No
24,Male,Mixed race,Never been married,Post-graduate,Unemployed,$50k-75k,75,Yes,No,Yes,Purchased,Yes,No
54,Female,Black/African-American,Married,High school,Employed full-time,$30k-40k,75,Yes,No,No,Borrowed from others,Yes,No
81,Female,White,Widowed,College,Unemployed,$75k-100k,75,Yes,Yes,No,Borrowed from library,Yes,Yes
78,Female,White,Widowed,High school,Retired,$100k-150k,75,Yes,No,No,Other sources,Yes,No
73,Female,White,Married,College,Employed part-time,$30k-40k,75,Yes,No,No,Purchased,Yes,Yes
68,Female,White,Widowed,Some college,Retired,$10k-20k,75,Yes,No,No,Borrowed from others,Yes,No
65,Female,White,Divorced,High school,Retired,$30k-40k,75,Yes,No,No,Borrowed from library,Yes,No
62,Female,White,Married,Some college,Employed full-time,$100k-150k,75,Yes,No,No,Purchased,Yes,Yes
61,Female,White,Married,High school,Retired,$100k-150k,75,Yes,Yes,No,Purchased,Yes,Yes
55,Female,White,Widowed,College,Employed full-time,$40k-50k,75,Yes,No,No,Other sources,Yes,No
48,Female,White,Married,College,Unemployed,$100k-150k,75,Yes,Yes,No,Borrowed from others,Yes,Yes
48,Male,White,Never been married,Post-graduate,Employed full-time,$50k-75k,75,Yes,No,Yes,Purchased,Yes,Yes
39,Male,White,Married,College,Employed full-time,$100k-150k,75,Yes,No,Yes,Borrowed from others,No,No
55,Male,Black/African-American,Separated,High school,Retired,$10k-20k,70,Yes,No,No,Other sources,No,Yes
84,Female,White,Married,Trade school,Retired,$100k-150k,70,Yes,Yes,No,Other sources,Yes,No
64,Female,White,Divorced,High school,Employed full-time,$30k-40k,70,Yes,No,No,Purchased,Yes,Yes
58,Female,White,Married,Post-graduate,Unemployed,$100k-150k,70,Yes,Yes,Yes,Purchased,No,Yes
53,Female,White,Married,High school,Employed full-time,$75k-100k,70,Yes,No,Yes,Other sources,No,No
31,Female,White,Never been married,Post-graduate,Employed full-time,$50k-75k,70,Yes,No,Yes,Purchased,No,Yes
22,Female,White,Married,High school,Employed part-time,<$10k,70,Yes,No,No,Purchased,No,No
21,Female,White,Never been married,Some college,Unemployed,<$10k,70,Yes,No,No,Borrowed from others,No,No
16,Female,White,Single,Some high school,Unemployed,$100k-150k,70,Yes,No,No,Borrowed from library,Yes,Yes
61,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,67,Yes,Yes,Yes,Borrowed from library,Yes,Yes
40,Male,White,Married,High school,Unemployed,<$10k,65,Yes,No,No,Purchased,No,Yes
27,Male,White,Never been married,Post-graduate,Employed full-time,$50k-75k,65,No,No,Yes,Purchased,Yes,Yes
35,Male,Native American,Never been married,High school,Employed full-time,$100k-150k,60,Yes,No,No,Purchased,Yes,Yes
50,Female,Black/African-American,Never been married,Some college,Unemployed,$50k-75k,60,Yes,No,Yes,Purchased,No,Yes
45,Female,Black/African-American,Married,College,Employed full-time,$100k-150k,60,Yes,Yes,Yes,Other sources,No,Yes
16,Male,Black/African-American,Never been married,Some high school,Employed full-time,<$10k,60,Yes,Yes,No,Purchased,Yes,Yes
66,Female,White,Married,Post-graduate,Retired,$50k-75k,60,Yes,Yes,No,Borrowed from library,Yes,Yes
65,Female,White,Married,College,Retired,$50k-75k,60,Yes,Yes,No,Purchased,Yes,Yes
62,Female,White,Widowed,College,Retired,$40k-50k,60,Yes,No,No,Borrowed from others,Yes,Yes
61,Male,White,Married,Post-graduate,Employed full-time,$50k-75k,60,Yes,No,Yes,Purchased,No,Yes
60,Male,White,Married,College,Employed full-time,$100k-150k,60,Yes,Yes,No,Purchased,Yes,No
58,Female,White,Widowed,High school,Employed full-time,$30k-40k,60,Yes,No,No,Borrowed from others,Yes,Yes
53,Male,White,Married,College,Employed full-time,$75k-100k,60,Yes,Yes,Yes,Purchased,Yes,Yes
51,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,60,Yes,No,Yes,Purchased,Yes,Yes
39,Female,White,Married,Post-graduate,Employed part-time,$100k-150k,60,Yes,No,No,Borrowed from library,Yes,Yes
38,Male,White,Divorced,College,Employed full-time,$40k-50k,60,Yes,No,No,Purchased,Yes,Yes
23,Female,White,Never been married,College,Employed part-time,$100k-150k,60,Yes,Yes,No,Borrowed from others,Yes,Yes
22,Male,White,Never been married,Some college,Unemployed,$100k-150k,60,Yes,Yes,No,Purchased,Yes,Yes
21,Female,White,Never been married,Some college,Unemployed,$100k-150k,60,Yes,No,Yes,Purchased,No,No
66,Female,White,Living with a partner,High school,Retired,$40k-50k,55,Yes,No,Yes,Purchased,Yes,No
47,Female,White,Divorced,High school,Employed part-time,$20k-30k,54,Yes,No,Yes,Borrowed from library,No,No
29,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,52,Yes,No,Yes,Purchased,No,No
21,Male,White,Married,Some high school,Employed full-time,$30k-40k,51,Yes,No,No,Other sources,No,Yes
37,Male,Other,Single,High school,Retired,<$10k,50,Yes,No,No,Purchased,Yes,Yes
16,Male,Other,Never been married,Some high school,Employed part-time,$30k-40k,50,Yes,No,No,Purchased,No,Yes
32,Female,Native American,Living with a partner,Some college,Unemployed,$50k-75k,50,Yes,No,No,Borrowed from others,Yes,Yes
41,Female,Mixed race,Married,Post-graduate,Disabled,$30k-40k,50,Yes,No,No,Other sources,No,No
26,Male,Asian/Pacific Islander,Living with a partner,Some college,Employed full-time,$20k-30k,50,Yes,No,Yes,Purchased,Yes,No
61,Female,Black/African-American,Married,Post-graduate,Employed full-time,$40k-50k,50,Yes,Yes,Yes,Other sources,No,No
59,Female,Black/African-American,Married,College,Employed full-time,$100k-150k,50,Yes,No,No,Purchased,Yes,Yes
47,Female,Black/African-American,Married,College,Unemployed,$100k-150k,50,Yes,No,Yes,Borrowed from library,Yes,Yes
32,Female,Black/African-American,Living with a partner,Post-graduate,Employed full-time,$50k-75k,50,Yes,No,No,Purchased,No,No
17,Male,Black/African-American,Never been married,Some high school,Employed part-time,$10k-20k,50,Yes,No,Yes,Borrowed from library,No,No
90,Female,White,Widowed,Post-graduate,Retired,$30k-40k,50,Yes,No,No,Purchased,No,Yes
83,Female,White,Widowed,College,Retired,$20k-30k,50,Yes,No,No,Purchased,Yes,Yes
80,Female,White,Widowed,High school,Employed full-time,$10k-20k,50,Yes,No,No,Borrowed from library,Yes,Yes
80,Female,White,Married,Post-graduate,Retired,$100k-150k,50,Yes,Yes,Yes,Borrowed from library,Yes,Yes
78,Female,White,Married,Some college,Retired,$50k-75k,50,Yes,No,No,Purchased,No,Yes
78,Female,White,Widowed,Post-graduate,Retired,$20k-30k,50,Yes,No,No,Purchased,Yes,Yes
78,Female,White,Married,High school,Retired,$30k-40k,50,Yes,No,No,Purchased,No,Yes
77,Male,White,Married,Post-graduate,Retired,$20k-30k,50,Yes,Yes,No,Purchased,Yes,Yes
77,Female,White,Widowed,High school,Retired,$40k-50k,50,Yes,No,Yes,Borrowed from library,Yes,No
76,Female,White,Widowed,College,Retired,$100k-150k,50,Yes,No,No,Purchased,Yes,Yes
75,Female,White,Widowed,Post-graduate,Employed part-time,$50k-75k,50,Yes,Yes,No,Borrowed from library,Yes,Yes
74,Female,White,Married,College,Retired,$40k-50k,50,Yes,Yes,Yes,Purchased,Yes,Yes
72,Female,White,Married,Some college,Retired,$30k-40k,50,Yes,Yes,No,Purchased,Yes,Yes
70,Male,White,Married,College,Retired,$75k-100k,50,Yes,No,No,Borrowed from library,Yes,Yes
70,Female,White,Married,Some college,Retired,$40k-50k,50,Yes,No,No,Purchased,Yes,Yes
70,Female,White,Married,College,Retired,$10k-20k,50,Yes,No,No,Borrowed from others,Yes,No
69,Male,White,Married,Trade school,Employed part-time,$50k-75k,50,Yes,No,No,Purchased,No,Yes
68,Female,White,Married,Some college,Retired,$50k-75k,50,Yes,No,No,Borrowed from library,Yes,No
68,Male,White,Married,College,Employed part-time,$50k-75k,50,Yes,No,Yes,Purchased,No,Yes
66,Female,White,Single,Post-graduate,Retired,$30k-40k,50,Yes,No,No,Purchased,Yes,Yes
66,Female,White,Married,Some college,Retired,$75k-100k,50,Yes,No,Yes,Borrowed from library,Yes,No
66,Male,White,Married,College,Retired,$100k-150k,50,Yes,Yes,Yes,Purchased,Yes,Yes
65,Male,White,Married,Some college,Retired,$100k-150k,50,Yes,No,No,Other sources,Yes,Yes
65,Male,White,Married,College,Retired,$30k-40k,50,Yes,No,No,Borrowed from library,No,No
65,Male,White,Married,High school,Retired,$50k-75k,50,Yes,No,Yes,Borrowed from library,No,Yes
65,Male,White,Married,Post-graduate,Retired,$75k-100k,50,Yes,No,Yes,Borrowed from others,Yes,Yes
64,Male,White,Married,Post-graduate,Retired,$100k-150k,50,Yes,No,Yes,Purchased,Yes,No
64,Male,White,Married,Some college,Employed full-time,$50k-75k,50,Yes,Yes,Yes,Purchased,Yes,Yes
60,Female,White,Married,Some college,Retired,$75k-100k,50,Yes,No,Yes,Borrowed from others,Yes,No
60,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,50,Yes,No,Yes,Purchased,Yes,Yes
60,Female,White,Widowed,Some high school,Unemployed,$10k-20k,50,Yes,No,No,Borrowed from library,Yes,Yes
59,Female,White,Married,Trade school,Employed full-time,$50k-75k,50,Yes,No,No,Borrowed from others,Yes,Yes
59,Female,White,Married,Some college,Retired,$40k-50k,50,Yes,No,No,Purchased,No,Yes
59,Male,White,Never been married,College,Employed full-time,$100k-150k,50,Yes,No,No,Purchased,Yes,No
58,Female,White,Married,High school,Employed full-time,$40k-50k,50,Yes,No,No,Purchased,Yes,Yes
58,Female,White,Married,Some college,Disabled,$100k-150k,50,Yes,Yes,No,Other sources,Yes,Yes
58,Male,White,Married,Post-graduate,Retired,$100k-150k,50,Yes,No,Yes,Purchased,No,No
55,Female,White,Never been married,Some college,Employed full-time,$40k-50k,50,Yes,No,No,Purchased,Yes,No
55,Female,White,Divorced,Post-graduate,Retired,$50k-75k,50,Yes,No,No,Purchased,No,No
54,Male,White,Married,High school,Employed full-time,$100k-150k,50,Yes,No,Yes,Purchased,Yes,No
53,Female,White,Separated,High school,Disabled,<$10k,50,Yes,No,No,Borrowed from others,Yes,Yes
53,Female,White,Married,Post-graduate,Unemployed,$100k-150k,50,Yes,Yes,Yes,Purchased,Yes,Yes
53,Female,White,Never been married,Some college,Employed full-time,$40k-50k,50,Yes,Yes,Yes,Purchased,No,Yes
53,Female,White,Married,College,Employed full-time,$75k-100k,50,Yes,No,Yes,Purchased,Yes,Yes
53,Female,White,Married,Some college,Unemployed,$100k-150k,50,Yes,No,No,Purchased,Yes,Yes
52,Female,White,Married,College,Employed full-time,$40k-50k,50,Yes,No,Yes,Purchased,No,Yes
51,Male,White,Married,Post-graduate,Employed full-time,$30k-40k,50,Yes,No,Yes,Purchased,No,No
50,Male,White,Married,College,Employed full-time,$100k-150k,50,No,No,Yes,Purchased,Yes,No
50,Female,White,Married,College,Employed full-time,$50k-75k,50,Yes,No,No,Borrowed from library,Yes,Yes
50,Male,White,Married,College,Employed full-time,$100k-150k,50,Yes,No,No,Purchased,Yes,Yes
49,Female,White,Married,College,Employed full-time,$30k-40k,50,No,No,Yes,Purchased,No,Yes
47,Female,White,Married,High school,Employed full-time,$75k-100k,50,Yes,No,Yes,Borrowed from others,No,Yes
46,Female,White,Separated,College,Unemployed,$20k-30k,50,Yes,Yes,No,Borrowed from library,Yes,No
45,Male,White,Divorced,College,Employed full-time,$75k-100k,50,Yes,No,Yes,Purchased,Yes,Yes
45,Male,White,Married,Some college,Retired,$50k-75k,50,Yes,Yes,No,Borrowed from library,Yes,No
45,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,50,Yes,Yes,Yes,Purchased,Yes,No
44,Female,White,Married,Some college,Unemployed,$50k-75k,50,Yes,No,Yes,Other sources,No,No
44,Female,White,Never been married,College,Employed full-time,$20k-30k,50,Yes,No,No,Purchased,No,No
42,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,50,Yes,No,No,Purchased,Yes,No
42,Female,White,Never been married,College,Self-employed,$100k-150k,50,Yes,No,Yes,Purchased,Yes,No
41,Female,White,Married,High school,Disabled,$10k-20k,50,Yes,No,No,Purchased,No,No
41,Female,White,Separated,Post-graduate,Unemployed,<$10k,50,Yes,No,Yes,Purchased,Yes,Yes
38,Male,White,Living with a partner,High school,Unemployed,$75k-100k,50,Yes,No,No,Borrowed from others,Yes,Yes
37,Male,White,Divorced,Some high school,Employed full-time,$75k-100k,50,Yes,Yes,Yes,Purchased,No,No
37,Female,White,Married,Trade school,Employed part-time,$30k-40k,50,Yes,Yes,Yes,Other sources,No,Yes
35,Female,White,Living with a partner,College,Employed full-time,$20k-30k,50,Yes,No,No,Purchased,Yes,Yes
34,Female,White,Married,Post-graduate,Unemployed,$30k-40k,50,No,No,Yes,Borrowed from library,Yes,No
33,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,50,Yes,Yes,Yes,Borrowed from library,Yes,Yes
32,Female,White,Never been married,High school,Employed full-time,$20k-30k,50,Yes,No,No,Borrowed from library,Yes,No
30,Male,White,Never been married,Some high school,Disabled,$100k-150k,50,Yes,No,No,Borrowed from others,Yes,No
29,Male,White,Married,High school,Employed part-time,$10k-20k,50,Yes,Yes,Yes,Purchased,No,Yes
27,Female,White,Married,Some college,Employed full-time,$100k-150k,50,Yes,Yes,Yes,Other sources,Yes,No
27,Female,White,Married,Some college,Unemployed,$50k-75k,50,Yes,No,Yes,Purchased,No,No
26,Female,White,Married,Some college,Self-employed,$100k-150k,50,Yes,No,No,Purchased,Yes,No
25,Female,White,Married,Some college,Employed full-time,$50k-75k,50,Yes,No,Yes,Borrowed from others,Yes,No
23,Male,White,Never been married,College,Employed full-time,$40k-50k,50,Yes,No,Yes,Purchased,Yes,Yes
